,game_id,start_time,winner,move_count,end_time,duration
0,0,1701233157.769532,X,9,1701233157.769923,0.0003910064697265625
1,1,1701233157.769931,X,5,1701233157.770132,0.0002009868621826172
2,2,1701233157.770137,O,8,1701233157.77041,0.00027298927307128906
3,3,1701233157.770414,draw,9,1701233157.770669,0.0002548694610595703
4,4,1701233157.7706728,X,9,1701233157.7708921,0.0002193450927734375
5,5,1701233157.770896,O,8,1701233157.771088,0.0001919269561767578
6,6,1701233157.771092,X,7,1701233157.771262,0.00016999244689941406
7,7,1701233157.771266,X,9,1701233157.771481,0.00021505355834960938
8,8,1701233157.7714849,X,9,1701233157.771699,0.00021409988403320312
9,9,1701233157.771703,O,8,1701233157.771897,0.00019407272338867188
